🇭🇰香台澳,#genre#
翡翠台,http://tebao.cn:8088/gudou-ag.php?id=fcthd&t=w14L5ppGYYzipwiIRQpgdA==&u=17199741419&p=1&pid=&cid=30&d=865372026096088&sid=UvTDcUdnRi8CMlYpibFWzA==&nc=deTQQ4XdwLRh&a=7&v=2&isSuma=1&hlsSessionID=1429613102050774418&srchost=172.16.149.181:8060&gid=gr2Ru1u3u4B5KOJoPSVDFw%3D%3D$1-谷豆-tb
翡翠台,http://42.186.64.52:5001/site/gudou.php?id=1350_4500$2-谷豆-st
翡翠台,http://lu1.cc/tv/php/gudou.php?id=fct$3-谷豆-lu 
翡翠台,http://www.namewee.xyz/gudou.php?id=1350_4500$4-谷豆-nw
翡翠台,https://fake-stream.livednow.com/mdvb/jade?token=321b0a36ca2aed06ebaa85d8012df385&user_id=1286344394&user_token=8c71285c98eea067c4ec8063378b4846
翡翠台,mitv://147.135.39.171:9906/657c8f940005cf8fa955b96f23e11195
翡翠台,http://r.jdshipin.com/qrfbg$5-全代理
翡翠台,http://r.jdshipin.com/n90gt$6-全代理
翡翠台,http://r.jdshipin.com/62WM7$7-全代理
翡翠台,http://r.jdshipin.com/qClQf$8-全代理
翡翠台,http://r.jdshipin.com/thuYX$9-全代理

明珠台,http://tebao.cn:8088/gudou-ag.php?id=mzthd&t=w14L5ppGYYzipwiIRQpgdA==&u=17199741419&p=1&pid=&cid=30&d=865372026096088&sid=UvTDcUdnRi8CMlYpibFWzA==&nc=deTQQ4XdwLRh&a=7&v=2&isSuma=1&hlsSessionID=1429613102050774418&srchost=172.16.149.181:8060&gid=gr2Ru1u3u4B5KOJoPSVDFw%3D%3D$1-谷豆-tb
明珠台,http://lu1.cc/tv/php/gudou.php?id=mzt$2-谷豆-lu
明珠台,http://www.namewee.xyz/gudou.php?id=1351_4500$3-谷豆-nw
明珠台,http://r.jdshipin.com/Gtx1R?id=mzthd$4-全代理
明珠台,http://r.jdshipin.com/GeWKr?id=mzt720$5-全代理
明珠台,http://r.jdshipin.com/ZQ4kN$6-全代理

J2,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
J2,https://sc2024.stream-link.org/live/1382109226.php?id=h67rj
J2,http://r.jdshipin.com/Nr5jq
J2,http://r.jdshipin.com/ndGgS


台视,https://sc2024.stream-link.org/live/1382109226.php?id=t75ej
中视,https://sc2024.stream-link.org/live/1382109226.php?id=t75ej
华视,https://sc2024.stream-link.org/live/1382109226.php?id=t90ee
民视,https://sc2024.stream-link.org/live/1382109226.php?id=t88jw
中天综合,https://sc2024.stream-link.org/live/1382109226.php?id=t93fm
中天娱乐,https://sc2024.stream-link.org/live/1382109226.php?id=t22tb
民视第一,https://sc2024.stream-link.org/live/1382109226.php?id=t79nn
民视综艺,https://sc2024.stream-link.org/live/1382109226.php?id=t17pw
民视,mitv://generationnexxxt.com:19806/7b046996e7d5417eb4a619194072bbc0
台视,mitv://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
中视,mitv://generationnexxxt.com:19806/27826c4ed7234c0d8759bc7fe6786a18
民视第一,mitv://generationnexxxt.com:19806/b97979cec8d74feebc370f3470cc06c6
中天综合,mitv://generationnexxxt.com:19806/d6433dcd1a2a4aacb1c63a81ae8f11e6
中天娱乐,mitv://generationnexxxt.com:19806/6932151dd5a74b759a053f78a719fbf3

🌺广东台,#genre#
广东珠江,http://183.51.102.157:8001/rtp/239.77.0.114:5146
广东珠江,http://183.51.102.157:8001/rtp/239.77.0.1:5146
广东珠江,http://183.51.102.157:8001/rtp/239.77.0.3:5146
广东珠江,http://183.51.102.157:8001/rtp/239.77.1.94:5146
广东影视,http://183.51.102.157:8001/rtp/239.77.0.217:5146
广东影视,http://183.51.102.157:8001/rtp/239.77.0.11:5146

广东珠江,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
广东影视,https://php.17186.eu.org/gdtv/web/gdys.m3u8
广东新闻,https://php.17186.eu.org/gdtv/web/xwpd.m3u8
广东民生,https://php.17186.eu.org/gdtv/web/gdgg.m3u8
广东经济,https://php.17186.eu.org/gdtv/web/jjkj.m3u8
广东综艺,https://php.17186.eu.org/gdtv/web/gdzy.m3u8
广东国际,https://php.17186.eu.org/gdtv/web/gdgj.m3u8
广东体育,https://php.17186.eu.org/gdtv/web/gdty.m3u8
广东卫视.,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州综合,https://justsometime.gztv.com/sec/zhonghe.m3u8
广州法治,https://justsometime.gztv.com/sec/fazhi.m3u8
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,https://justsometime.gztv.com/sec/jingsai.m3u8
南国都市,https://justsometime.gztv.com/sec/shenghuos.m3u8


广东新闻,http://183.51.102.157:8001/rtp/239.77.0.173:5146
广东新闻,http://183.51.102.157:8001/rtp/239.77.0.4:5146
广东公共,http://183.51.102.157:8001/rtp/239.77.0.5:5146
广东公共,http://183.51.102.157:8001/rtp/239.77.0.225:5146
广东体育,http://183.51.102.157:8001/rtp/239.77.0.6:5146
广东体育,http://183.51.102.157:8001/rtp/239.77.1.97:5146
广东体育,http://183.51.102.157:8001/rtp/239.77.0.112:5146
广东体育,http://183.51.102.157:8001/rtp/239.77.0.168:5146
广东国际,http://183.51.102.157:8001/rtp/239.77.0.7:5146
广东经济,http://183.51.102.157:8001/rtp/239.77.0.85:5146
广东经济,http://183.51.102.157:8001/rtp/239.77.0.167:5146
广东经济,http://183.51.102.157:8001/rtp/239.77.0.8:5146

广东少儿,http://183.51.102.157:8001/rtp/239.77.0.12:5146
广东少儿,http://183.51.102.157:8001/rtp/239.77.0.250:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.1.236:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.1.237:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.0.244:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.0.246:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.0.245:5146
广东综艺,http://183.51.102.157:8001/rtp/239.77.0.252:5146
广州综合,http://183.51.102.157:8001/rtp/239.253.43.66:5146
广州综合,http://183.51.102.157:8001/rtp/239.253.43.71:5146
广州新闻,http://183.51.102.157:8001/rtp/239.253.43.72:5146
广州新闻,http://183.51.102.157:8001/rtp/239.253.43.67:5146
广州影视,http://183.51.102.157:8001/rtp/239.253.43.73:5146
广州影视,http://183.51.102.157:8001/rtp/239.253.43.68:5146
广州法治,http://183.51.102.157:8001/rtp/239.253.43.69:5146
广州法治,http://183.51.102.157:8001/rtp/239.253.43.74:5146
广州竞赛,http://183.51.102.157:8001/rtp/239.253.43.70:5146
广州竞赛,http://183.51.102.157:8001/rtp/239.253.43.75:5146
南国都市,http://183.51.102.157:8001/rtp/239.253.43.99:5146

广东珠江,http://113.103.253.43:2000/rtp/239.77.0.114:5146
广东珠江,http://113.103.253.43:2000/rtp/239.77.0.1:5146
广东珠江,http://113.103.253.43:2000/rtp/239.77.0.3:5146
广东珠江,http://113.103.253.43:2000/rtp/239.77.1.94:5146
广东新闻,http://113.103.253.43:2000/rtp/239.77.0.4:5146
广东新闻,http://113.103.253.43:2000/rtp/239.77.0.173:5146
广东公共,http://113.103.253.43:2000/rtp/239.77.0.5:5146
广东公共,http://113.103.253.43:2000/rtp/239.77.0.225:5146
广东体育,http://113.103.253.43:2000/rtp/239.77.0.6:5146
广东体育,http://113.103.253.43:2000/rtp/239.77.1.97:5146
广东体育,http://113.103.253.43:2000/rtp/239.77.0.112:5146
广东体育,http://113.103.253.43:2000/rtp/239.77.0.168:5146
广东国际,http://113.103.253.43:2000/rtp/239.77.0.7:5146
广东经济,http://113.103.253.43:2000/rtp/239.77.0.8:5146
广东经济,http://113.103.253.43:2000/rtp/239.77.0.85:5146
广东经济,http://113.103.253.43:2000/rtp/239.77.0.167:5146
广东影视,http://113.103.253.43:2000/rtp/239.77.0.11:5146
广东影视,http://113.103.253.43:2000/rtp/239.77.0.217:5146
广东少儿,http://113.103.253.43:2000/rtp/239.77.0.12:5146
广东少儿,http://113.103.253.43:2000/rtp/239.77.0.250:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.1.236:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.1.237:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.0.244:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.0.246:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.0.245:5146
广东综艺,http://113.103.253.43:2000/rtp/239.77.0.252:5146
广州综合,http://113.103.253.43:2000/rtp/239.253.43.66:5146
广州综合,http://113.103.253.43:2000/rtp/239.253.43.71:5146
广州新闻,http://113.103.253.43:2000/rtp/239.253.43.67:5146
广州新闻,http://113.103.253.43:2000/rtp/239.253.43.72:5146
广州影视,http://113.103.253.43:2000/rtp/239.253.43.68:5146
广州影视,http://113.103.253.43:2000/rtp/239.253.43.73:5146
广州法治,http://113.103.253.43:2000/rtp/239.253.43.69:5146
广州法治,http://113.103.253.43:2000/rtp/239.253.43.74:5146
广州竞赛,http://113.103.253.43:2000/rtp/239.253.43.70:5146
广州竞赛,http://113.103.253.43:2000/rtp/239.253.43.75:5146
南国都市,http://113.103.253.43:2000/rtp/239.253.43.99:5146

广东珠江,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/Gtx1R?id=gdty
广东体育,http://r.jdshipin.com/LiYdg
广东新闻,http://r.jdshipin.com/Gtx1R?id=gdxw
广东民生,http://r.jdshipin.com/Gtx1R?id=gdms
广东经济,http://r.jdshipin.com/Gtx1R?id=gdjjkj
广东影视,http://r.jdshipin.com/Gtx1R?id=gdys
广东少儿,http://r.jdshipin.com/Gtx1R?id=gdse
广州综合,http://r.jdshipin.com/Gtx1R?id=gzzh
广州新闻,http://r.jdshipin.com/Gtx1R?id=gzxw
广州综合,http://r.jdshipin.com/iR6Gq
广州综合,http://php.jdshipin.com:8880/iptv.php?id=gzzh
广州影视,http://r.jdshipin.com/TcKr2
广州影视,http://php.jdshipin.com:8880/iptv.php?id=gzys
南国都市,http://r.jdshipin.com/nWaZO
南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广东综艺,http://php.jdshipin.com:8880/iptv.php?id=gd4k

🇨🇳中央台,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/4/224/3221228228/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
风云音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226953/1.m3u8
风云剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226950/1.m3u8
风云足球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8
第一剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226959/1.m3u8
怀旧剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/1.m3u8
兵器科技,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226975/1.m3u8
世界地理,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8
文化精品,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226981/1.m3u8
央视台球,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226956/1.m3u8
央视高网,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226978/1.m3u8
女性时尚,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226969/1.m3u8
电视指南,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226987/1.m3u8
卫生健康,https://live.goodiptv.club/api/yqgd.php?id=wsjk
发现之旅,https://live.goodiptv.club/api/yqgd.php?id=fxzl
冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
CGTN俄语,https://live.goodiptv.club/api/sxg.php?id=ey_2000
CGTN法语,https://live.goodiptv.club/api/sxg.php?id=fy_2000
CGTN西语,https://live.goodiptv.club/api/sxg.php?id=xbyy_2000
CGTN英语,https://live.goodiptv.club/api/sxg.php?id=CGTN_4000

CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228213/index.m3u8
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228188/index.m3u8
CCTV4,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8
CCTV5,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV5+,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228277/index.m3u8
CCTV6,http://[2409:8087:2001:20:2800:0:df6e:eb13]/ott.mobaibox.com/PLTV/3/224/3221227505/index.m3u8
CCTV7,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228283/index.m3u8
CCTV8,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228578/index.m3u8
CCTV9,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/1/224/3221228303/index.m3u8
CCTV10,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/1/224/3221228286/index.m3u8
CCTV11,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/4/224/3221228289/index.m3u8
CCTV12,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/3/224/3221228401/index.m3u8
CCTV13,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/1/224/3221228324/index.m3u8
CCTV14,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/1/224/3221228292/index.m3u8
CCTV15,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/1/224/3221228404/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV17,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/1/224/3221228407/index.m3u8

CCTV1,https://cntv.sbs/live?auth=230612&id=cctv1
CCTV2,https://cntv.sbs/live?auth=230612&id=cctv2
CCTV3,https://cntv.sbs/live?auth=230612&id=cctv3
CCTV4,https://cntv.sbs/live?auth=230612&id=cctv4
CCTV5,https://cntv.sbs/live?auth=230612&id=cctv5
CCTV5+,https://cntv.sbs/live?auth=230612&id=cctv5p
CCTV6,https://cntv.sbs/live?auth=230612&id=cctv6
CCTV7,https://cntv.sbs/live?auth=230612&id=cctv7
CCTV8,https://cntv.sbs/live?auth=230612&id=cctv8
CCTV9,https://cntv.sbs/live?auth=230612&id=cctv9
CCTV10,https://cntv.sbs/live?auth=230612&id=cctv10
CCTV11,https://cntv.sbs/live?auth=230612&id=cctv11
CCTV12,https://cntv.sbs/live?auth=230612&id=cctv12
CCTV13,https://cntv.sbs/live?auth=230612&id=cctv13
CCTV14,https://cntv.sbs/live?auth=230612&id=cctv14
CCTV15,https://cntv.sbs/live?auth=230612&id=cctv15
CCTV16,https://cntv.sbs/live?auth=230612&id=cctv16
CCTV17,https://cntv.sbs/live?auth=230612&id=cctv17

CCTV16,https://cntv.sbs/live?auth=230612&id=cctv164k
CCTV4K,https://cntv.sbs/live?auth=2307100804&id=cctv4k
CETV1,https://cntv.sbs/live?auth=230612&id=cetv1
CETV2,https://cntv.sbs/live?auth=230612&id=cetv2
CETV4,https://cntv.sbs/live?auth=230612&id=cetv4
CGTN英语,https://cntv.sbs/live?auth=230612&id=cgtn

CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000

CCTV16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000

CCTV1,https://live.goodiptv.club/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.goodiptv.club/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.goodiptv.club/api/ghyx.php?id=CCTV3HD_6000
CCTV4,https://live.goodiptv.club/api/ghyx.php?id=CCTV4HD_6000
CCTV4K,https://live.goodiptv.club/api/ghyx.php?id=CCTV4K_25000
CCTV5,https://live.goodiptv.club/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.goodiptv.club/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.goodiptv.club/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.goodiptv.club/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.goodiptv.club/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.goodiptv.club/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.goodiptv.club/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.goodiptv.club/api/ghyx.php?id=CCTV11HD2_6000
CCTV12,https://live.goodiptv.club/api/ghyx.php?id=CCTV12HD_6000
CCTV13,https://live.goodiptv.club/api/ghyx.php?id=CCTV13HD2_6000
CCTV14,https://live.goodiptv.club/api/ghyx.php?id=CCTV14HD_6000
CCTV15,https://live.goodiptv.club/api/ghyx.php?id=CCTV15HD_6000
CCTV16,https://live.goodiptv.club/api/ghyx.php?id=CCTV16HD_6000

CCTV16,https://live.goodiptv.club/api/ghyx.php?id=CCTV16UHD_25000
CCTV17,https://live.goodiptv.club/api/ghyx.php?id=CCTV17HD_6000
